Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
recordid,fast_practice_survey,,text,Record ID,,,,,,,,,,,,,
prac_entity_split_id,fast_practice_survey,,text,Practice SPLIT ID:,,,,,,,,,,,,, @HIDDEN-PDF @HIDDEN-SURVEY
infosheet,fast_practice_survey,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Information Sheet</span><br /><br />Study Title: Facilitating Alcohol Screening and Treatment (FAST), Colorado<br />Principal Investigator: W. Perry Dickinson, MD<br />COMIRB No: 19-1348<br />Version Date: 10/1/2021</p> <pre><span style=""font-weight: normal;"">COMIRB</span><br /><span style=""font-weight: normal;"">APPROVED</span><br /><span style=""font-weight: normal;"">For Use</span><br /><span style=""font-weight: 400;"">05-Oct-2021</span></pre> <p style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; overflow-wrap: break-word; vertical-align: baseline; font-kerning: none; background-color: transparent; color: windowtext; text-align: left; text-indent: 0px;""><span style=""font-weight: normal;"">You are being asked to be in this research study because you are a staff member or provider in a practice participating in a project to test different ways of helping primary care practices to build  capacity for quality improvement, change management, and implementation of patient-centered research findings. </span></p> <p style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; overflow-wrap: break-word; vertical-align: baseline; font-kerning: none; background-color: transparent; color: windowtext; text-align: left; text-indent: 0px;""> </p> <p style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; overflow-wrap: break-word; vertical-align: baseline; font-kerning: none; background-color: transparent; color: windowtext; text-align: left; text-indent: 0px;""><span style=""font-weight: normal;"">If you join the study, you will be asked to complete surveys about the practice’s organization, your experience as a staff member or provider, and how the practice delivers patient care. You may also be asked to participate in a semi-structured interview about your experiences with the implementation of different approaches to offering practice transformation support. Questions about barriers and facilitators to practice change and attitudes about care provided will be requested. You may choose to not to answer certain questions, if desired.  </span></p> <p style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; overflow-wrap: break-word; vertical-align: baseline; font-kerning: none; background-color: transparent; color: windowtext; text-align: left; text-indent: 0px;""> </p> <p style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; overflow-wrap: break-word; vertical-align: baseline; font-kerning: none; background-color: transparent; color: #0000ff; text-align: left; text-indent: 0px;""><span style=""font-weight: normal; color: #000000;"">This study is designed to learn more about two methods of supporting small and medium-size primary care practices in Colorado and surrounding states to improve alcohol screening and treatment of their patients. </span></p> <p style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; overflow-wrap: break-word; vertical-align: baseline; font-kerning: none; background-color: transparent; color: #0000ff; text-align: left; text-indent: 0px;""> </p> <p style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; overflow-wrap: break-word; vertical-align: baseline; font-kerning: none; background-color: transparent; color: #0000ff; text-align: left; text-indent: 0px;""><span style=""font-weight: normal; color: #000000;"">Possible discomforts or risks include a minimal risk of loss of confidentiality. There may be risks the researchers have not thought of. </span></p> <p style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; overflow-wrap: break-word; vertical-align: baseline; font-kerning: none; background-color: transparent; color: windowtext; text-align: left; text-indent: 0px;""> </p> <p style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; overflow-wrap: break-word; vertical-align: baseline; font-kerning: none; background-color: transparent; color: windowtext; text-align: left; text-indent: 0px;""><span style=""font-weight: normal;"">This study is not designed to benefit you directly. </span></p> <p style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; overflow-wrap: break-word; vertical-align: baseline; font-kerning: none; background-color: transparent; color: windowtext; text-align: left; text-indent: 0px;""> </p> <p style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; overflow-wrap: break-word; vertical-align: baseline; font-kerning: none; background-color: transparent; color: windowtext; text-align: left; text-indent: 0px;""><span style=""font-weight: normal;"">Every effort will be made to protect your privacy and confidentiality by using unique identifying codes for each participant and practice. Data will be accessible only by the research team. Any reporting will include only aggregated data so that it is not possible to link an individual and his or her responses. In very small practices, it is possible that the information about you is more identifiable. </span></p> <p style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; overflow-wrap: break-word; vertical-align: baseline; font-kerning: none; background-color: transparent; color: windowtext; text-align: left; text-indent: 0px;""> </p> <p style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; overflow-wrap: break-word; vertical-align: baseline; font-kerning: none; background-color: transparent; color: windowtext; text-align: left; text-indent: 0px;""><span style=""font-weight: normal;"">This research is being paid for by the Agency for Health Care Research and Quality. </span></p> <p style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; overflow-wrap: break-word; vertical-align: baseline; font-kerning: none; background-color: transparent; color: windowtext; text-align: left; text-indent: 0px;""> </p> <p style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; overflow-wrap: break-word; vertical-align: baseline; font-kerning: none; background-color: transparent; color: windowtext; text-align: left; text-indent: 0px;""><span style=""font-weight: normal;"">You have a choice about being in this study. You do not have to be in this study if you do not want to be. </span></p> <p style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; overflow-wrap: break-word; vertical-align: baseline; font-kerning: none; background-color: transparent; color: windowtext; text-align: left; text-indent: 0px;""> </p> <p style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; overflow-wrap: break-word; vertical-align: baseline; font-kerning: none; background-color: transparent; color: windowtext; text-align: left; text-indent: 0px;""><span style=""font-weight: normal;"">The data we collect will be used for this study but may also be important for future research. Your data may be used for future research or distributed to other researchers for future study without additional consent if information that identifies you is removed from the data. </span></p> <p style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; overflow-wrap: break-word; vertical-align: baseline; font-kerning: none; background-color: transparent; color: windowtext; text-align: left; text-indent: 0px;""> </p> <p style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; overflow-wrap: break-word; vertical-align: baseline; font-kerning: none; background-color: transparent; color: windowtext; text-align: left; text-indent: 0px;""><span style=""font-weight: normal;"">If you have questions, you can call Perry Dickinson, MD at 303-724-9754. You can call and ask questions at any time.   </span></p> <p style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; overflow-wrap: break-word; vertical-align: baseline; font-kerning: none; background-color: transparent; color: windowtext; text-align: left; text-indent: 0px;""> </p> <p style=""margin: 0px; padding: 0px; user-select: text; -webkit-user-drag: none; -webkit-tap-highlight-color: transparent; overflow-wrap: break-word; vertical-align: baseline; font-kerning: none; background-color: transparent; color: windowtext; text-align: left; text-indent: 0px;""><span style=""font-weight: normal;"">You may have questions about your rights as someone in this study. If you have questions, you can call COMIRB (the responsible Institutional Review Board) at (303) 724-1055. </span></p> <p><span style=""font-weight: normal;"">Postcard Consent Template</span><br /><span style=""font-weight: normal;"">CF-157, Effective 9-10-2018</span></p></div>",,,,,,,,,,,,,
intro,fast_practice_survey, ,descriptive,"Please complete the following survey, which is designed to collect information about your practice for the FAST study.  We suggest you designate an Office Manager and Lead Clinician to complete the survey, but also encourage you to consult with others in your practice to obtain accurate information if necessary.",,,,,,,,,,,,,
name,fast_practice_survey,,text,1. Practice Name:,,,,,,y,,,,,,,
zip,fast_practice_survey,,text,2. Practice Zip Code:,,,zipcode,,,y,,,,,,,
state,fast_practice_survey,,dropdown,3. Practice State,"1, AR | 2, CO | 3, IA | 4, KS | 5, NE | 6, NV | 7, NM | 8, OK | 9, UT | 10, WY",,autocomplete,,,,,,,,,,
survey_dtd,fast_practice_survey,,text,4. Date survey was completed: ,,,date_mdy,1/1/2020,12/21/2025,y,,,,,,,
consulted,fast_practice_survey,,checkbox,"<div class=""rich-text-field-label""><p>5. Please indicate others in the practice that you consulted with to complete this survey? <em>(CHECK ALL THAT APPLY)</em></p></div>","1, Clinician (MD, DO, NP, PA) | 2, Behavioral health clinician (e.g., psychologist, counselor, social worker, licensed clinical social worker, licensed mental health counselor, chemical dependence and addiction counselor) | 3, Other clinical staff providing direct patient care (e.g., RN, LPN/LVN, medical assistant, certified medical assistant, medical technician) | 4, Office manager | 5, Front/back office staff (those in practice operations and not directly involved in patient care, e.g., receptionists, appointment schedulers, billing staff, data analysts, etc.) | 6, Peer provider (e.g., certified peer specialist, peer support specialist, peer recovery coaches) | 7, Pharmacist (e.g., PharmD, clinical pharmacist, pharmacy technician) | 8, Other (please specify)",,,,,y,,,,,,,
consulted_other,fast_practice_survey,,notes,5. Other (please specify),,,,,,,[consulted(8)] = '1',,,,,,
