prac_entity_split_id,kickoff_mtg_dtd,clinicname,clinicname_preferred,fastwave,intervention_arm,fast_start_dtd,prctagrmnt_dtd,practicesurvey_dtd,pause,dropout_dtd,prac_dropout,status
30,6/18/2020,"MidValley Family Practice, PC",MidValley Family Practice,1,0,6/1/2020,5/28/2020,5/27/2020,,,,4
35,7/8/2020,Highlands Health for Life,Highlands Health for Life,1,0,6/1/2020,6/5/2020,6/4/2020,,,,4
100,8/21/2020,MarillacHealth,Marillac Clinic Grand Junction,3,0,8/1/2020,10/29/2020,12/21/2020,1,6/1/2021,2,5
122,7/21/2020,Boulder Creek Family Medicine,Boulder Creek Family Medicine,2,1,7/1/2020,8/4/2020,6/23/2020,,,,4
140,7/13/2020,Northwest Family Medicine,Northwest Family Medicine,2,0,7/1/2020,8/4/2020,6/24/2020,,,,4
141,7/16/2020,Family medical Associates,Family medical Associates,2,0,7/1/2020,8/4/2020,7/9/2020,,,,4
143,7/24/2020,Gunbarrel Family Medicine,Gunbarrel Family Medicine,2,1,7/1/2020,8/4/2020,1/18/2021,,,,4
148,7/16/2020,Spruce Street Internal Medicine,Spruce Street Internal Medicine,2,1,7/1/2020,8/4/2020,10/21/2020,,,,4
153,6/16/2020,Roaring Fork Family Practice,Roaring Fork Family Practice,1,0,6/1/2020,7/1/2020,6/3/2020,,,,4
2067,6/16/2020,Conifer Medical Center,"Conifer Medical Center, P.C.",1,1,6/1/2020,5/29/2020,5/27/2020,,,,4
2070,6/24/2020,Denver Family Medicine,Denver Family Medicine,1,0,6/1/2020,6/5/2020,6/4/2020,,,,4
2117,8/21/2020,Marillac Health,Marillac- County,3,0,8/1/2020,10/29/2020,12/21/2020,1,6/1/2021,2,5
2120,1/18/2021,MedNOW Clinics-Denver,,19,1,12/1/2021,12/28/2021,3/9/2022,,,,4
2123,6/25/2020,Internal Medicine at Valley View,Internal Medicine at Valley View Hospital,1,1,6/1/2020,6/2/2020,6/2/2020,,,,4
2133,6/17/2020,"Northeast Colorado Family Medicine Associates, P.C.","Northeast Colorado Family Medicine Associates, P.C.",1,1,6/1/2020,5/29/2020,5/27/2020,,,,4
2134,3/11/2021,Northwest Colorado Visiting Nurse Association,Northwest Colorado Health - Craig,10,1,3/1/2021,3/9/2021,3/23/2021,,,,4
2135,6/29/2020,ChrMeg Inc.,Parker Family Care,1,0,6/1/2020,6/1/2020,9/1/2020,,,,4
2164,2/18/2021,SET Family Medical Clinics,SET Family Medical Clinics,9,1,2/1/2021,8/28/2020,9/1/2020,,,,4
2224,1/18/2022,MedNOW Clinics-Denver South,,23,0,4/1/2022,9/1/2022,,,,,4
2226,2/28/2022,St Anthony Health Centers Evergreen,St. Anthony Health Center Evergreen,17,0,10/10/2021,7/19/2022,7/15/2022,1,,,5
2359,8/17/2020,Heartlight Family Clinic,Heartlight Family Clinic,3,1,8/1/2020,8/11/2020,9/9/2020,,9/29/2020,3,1
2415,3/18/2021,Ted J Puls MD PC,Puls and Mann,10,0,3/1/2021,3/22/2021,3/8/2021,,,,4
